name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Getting Started with Junos Operating System,https://www.coursera.org/learn/junos,Information Technology,Networking,Gordon ,"In this course, you will be introduced to the design and architecture of the Junos operating system (Junos OS)—the operating system used on Juniper’s routing, switching, and security portfolio. This course will explore the Junos OS command line interface (CLI) for configuring, managing, and monitoring Junos OS-powered network devices. The J-Web interface will also be examined as the graphical use interface (GUI) option for configuring, managing, and monitoring Junos OS devices. You will then be shown initial system configuration tasks and some basic interface configuration. A brief overview of Juniper hardware and software products will also be provided.",,2433.0,4.8,10.0
Gmail: Getting Started,https://www.coursera.org/learn/googlecloud-gmail-getting-started-mstes,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Hands-On Labs in Google Cloud for Networking Engineers,https://www.coursera.org/learn/hands-on-labs-google-cloud-networking-engineer,Information Technology,Networking,Google Cloud Training,"Networking is a principal theme of cloud computing. It’s the underlying structure of Google Cloud, and it’s what connects all your resources and services to one another. In this series of hands-on labs, completed on Qwiklabs, you will gain additional practice with specialized tools for developing mature networks. 

This course is unlike other courses, in that it consists of one module of background videos, followed by a series of hands-on practice exercises on Google Cloud via Qwiklabs. The practice modules include no videos, lectures, or quizzes - just more practice on real Google Cloud.",3864.0,3768.0,4.8,89.0
How To Build a Network Topology Using GNS3,https://www.coursera.org/learn/how-to-build-a-network-topology-using-gns3,Information Technology,Networking,Moustafa Ashmawy,"In this 1-hour 30-mins long project-based course, you will learn how to build a network topology using GNS3, as well as configuring network devices and troubleshooting them. You’ll also learn how to create subnets and how to secure your network devices.


Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,4.5,28.0
How to Secure your Network Device using Cisco Packet Tracer,https://www.coursera.org/learn/how-to-secure-your-network-devices,Information Technology,Networking,ahmed elshorafa,"In this 1-hour long project-based course, you will create a network topology using cisco packet tracer. Throughout the project, you will be able to authenticate the switches and  the router in your the network topology,  make PCs from different VLANs communicate with each other, and Finally configure DHCP protocol on the router and be able to protect your switch ports from attackers. This guided project is for people who are interested in getting started in the network security field and for the people interested in computer networking architecture. This guided project will enhance your skills in the network security field as the security field is one of the most promising fields in the next few years.",,,,
How to configure VLAN's using cisco packet tracer,https://www.coursera.org/learn/how-to-configure-vlans-using-cisco-packet-tracer,Information Technology,Networking,Ahmed Elsayed,"In this 1-hour long project-based course, you will learn how to create a network topology using cisco packet tracer. Throughout the project, we will be able to configure Vlan on switches , allow devices from different VLANs to communicate and configure VTP between switches. 


Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
Initiation à Wireshark pour l'analyse de paquets sous linux,https://www.coursera.org/learn/initiation-wireshark-capture-analyse-paquets-trames-reseau-linux,Information Technology,Networking,Viranson HOUNNOUVI,"Ce projet guidé “Initiation à Wireshark pour l'analyse de paquets sous linux” est destiné principalement aux Administrateurs réseaux et Administrateurs Systèmes. Il est aussi destiné à toute personne intéressée par la capture et l’inspection de paquets avec Wireshark.
Dans ce projet guidé d'une heure, vous apprendrez à installer Wireshark sous Linux, capturer des paquets de données avec Wireshark pour les analyser, filtrer les données de paquets et obtenir des statistiques sur les paquets capturés.
Pour parvenir à la réalisation de ce projet guidé, nous avancerons pas à pas sur un ensemble de 7 tâches avec deux exercices pratiques auto-évaluatifs 
Ce projet guidé, totalement présenté en Français, est spécialement conçu avec des explications approfondies sur les différents éléments qui y sont abordés.
Pour profiter au maximum de ce projet guidé qui se déroulera dans un environnement Linux, il vous sera nécessaire d’avoir des connaissances sur les protocoles réseau et le modèle TCP/IP et aussi d’avoir les bases du shell Linux, spécifiquement maîtriser les commandes d’installation et de gestion de paquets logiciels sous Linux",,,,
Intel® Network Academy - Network Transformation 101,https://www.coursera.org/learn/network-transformation-101,Information Technology,Networking,Intel Network Academy ,"Welcome to the Intel® Network Academy – a comprehensive training program on network transformation.  In this program, we will be covering the topic areas of software defined infrastructure (SDI) network functions virtualization (NFV), software-defined networking (SDN) and beyond. The Network Academy includes a broad collection of online content and technical training aimed to assist technical professionals in the network industry to improve their knowledge of key Intel® technologies, industry trends, and technical aspects of NFV deployments.

After completing this training course, please find Network Transformation 102 offered by Intel® Network Academy to advance your technical expertise.",29200.0,18796.0,4.5,471.0
Intel® Network Academy - Network Transformation 102,https://www.coursera.org/learn/network-transformation-102,Information Technology,Networking,Intel Network Academy ,"Welcome to the Intel® Network Academy – a comprehensive training program on network transformation.  In this program, we will be covering the topic areas of software defined infrastructure (SDI) network functions virtualization (NFV), software-defined networking (SDN) and beyond.

Network Transformation 102 covers topics such as VNF Operations & Development, Cryptography, and Hyperscan technology, students will dive into the benefits of Intel hardware and software and explore how to accelerate compute-intensive operations with Intel® QuickAssist Technology (Intel® QAT). 
Students will also have a chance to learn more about open source standards including DPDK and FD.io.",7180.0,4314.0,4.6,126.0
Introducción y creando oráculos en Blockchain,https://www.coursera.org/learn/oraculos-blockchain,Information Technology,Networking,Nestor Nicolas Campos Rojas,"En este proyecto, aprenderás a usar los oráculos para obtener información externa desde los contratos inteligentes.",,,,
Introduction to Networking and Storage,https://www.coursera.org/learn/introduction-to-networking-and-storage,Information Technology,Networking,Skills Network,"Designed for beginners, this course is for anyone new to networking and storage. Develop the skills you need to diagnose and repair basic networking and storage problems. 

This course Is for you if you are kickstarting an IT Support role, network technician role, or building your base knowledge for system administration.

Using videos and virtual, online, hands-on labs, you'll learn about network types, topologies, and models. 

You’ll see how data travels across a network, and discover what protocols and standards are and how they enable all network activity. 

Next, you’ll get familiar with devices and cables and learn how to set up and configure wired and wireless connections 

Then, you’ll learn to diagnose and troubleshoot network connectivity issues, and discover how to use command line utilities and network tools in Windows Settings. 

And finally, you’ll learn to identify different types of storage drives, and find out the features of local, hosted, and cloud storage and when to use each.   

Get the skills you need to keep users connected.",5735.0,46081.0,4.7,110.0
Introduction to Networks and Cisco Devices,https://www.coursera.org/learn/ccna-introduction-networks-cisco-devices,Information Technology,Networking,Mohammed Al M.,"In this 2-hours guided project, you will identify different components such as end devices, intermediary devices, and connection media and simulate network topologies in the Packet Tracer, manage Cisco network devices using telnet, SSH, and Console connections, and secure access to Cisco devices using passwords and password encryption services. 

By the end of this project, you will be able to use the Packet Tracer to create network topologies that are like the one you’re seeing on the screen, connect to network devices using telnet, SSH, and Console, and manage basic security settings on Cisco devices.

This project is one of a kind because it teaches foundational computer network skills to learners from a variety of experience levels using entirely simulated experience. In this project, learners will acquire what they need in simulation environments as if they were working on real devices.",8736.0,,4.6,263.0
Introdução a Mapas de Relação com Kumu,https://www.coursera.org/learn/intro-kumu,Information Technology,Networking,Danilo Oliveira Vaz,"Neste curso de aproximadamente 1 hora, com base em projeto, você aprenderá a criar mapas de relações interativos na plataforma Kumu. Essa jornada de aprendizagem vai desde criar uma conta no Kumu e escolher os templates de mapa mais apropriados às suas necessidades, até adicionar e decorar elementos, conexões e loops. Além disso, várias dicas e truques também são compartilhados ao longo do caminho.

A arte e ciência de criar e comunicar mapas de relações é aplicável a uma ampla gama de áreas, desde design e engenharia de software até consultoria organizacional e construção de comunidades. E este projeto é uma oportunidade acessível para qualquer pessoa adquirir experiência prática nesse assunto. Então, vamos mapear!

Nota: Este curso funciona melhor para aprendizes da região da América do Norte. No momento, estamos trabalhando para proporcionar a mesma experiência em outras regiões.",,,,
Juniper Networks Automation Using Ansible and the REST API,https://www.coursera.org/learn/juniper-automation-ansible-rest-api,Information Technology,Networking,Gordon ,"This  course demonstrates how to automate the Junos OS using DevOps automation tools, protocols, and technologies. This course focuses on using Ansible, and the Junos Representational State Transfer (REST) API to automate Junos platforms.",,,,
Juniper Networks Automation Using Python and PyEZ,https://www.coursera.org/learn/juniper-automation-python-pyez,Information Technology,Networking,Gordon ,"This course will introduce you to fundamental concepts of a programming language called Python. After introducing you to Python concepts, the course describes how to apply those concepts to network automation using Junos PyEZ, a free Python library from Juniper Networks. This course demonstrates using Python and Junos PyEZ to automate the management of Junos OS devices.",,,,
Juniper Networks Security Concepts and Initial Configuration,https://www.coursera.org/learn/juniper-security-concepts-and-configuration,Information Technology,Networking,Gordon ,"In this course, you will be introduced to Juniper’s basic network security design concepts. You will learn about the Junos operating system (Junos OS) along with SRX Series security devices. You will learn the basics of the Junos CLI and J-Web user interfaces including initial configuration tasks and basic interface configuration. The course will explain the concepts of security zone objects, screen objects, address objects, service objects and how they are configured. The different types of security policies and their purpose will be explored along with an explanation on how to implement security policies on SRX Series devices.",,3960.0,,
"Junos Routing, Operations, and Maintenance",https://www.coursera.org/learn/junos-admin,Information Technology,Networking,Gordon ,"In this course, we will explain basic routing concepts including routing policy, routing and forwarding tables, routing instances, and Junos OS routing configuration basics. This course will also explain the concepts and configuration basics of user authentication, the various types of interfaces found on network devices, archiving configurations, configuring and analyzing system logging and tracing, and configuring SNMP for collecting and organizing information about managed devices. Other operational monitoring and maintenance tasks will be explored, including password recovery and how to upgrade Junos OS.",,2622.0,,
Les bits et les octets des réseaux informatiques,https://www.coursera.org/learn/les-bits-et-les-octets-des-reseaux-informatiques,Information Technology,Networking,Google Career Certificates,"Ce cours est conçu pour fournir un aperçu complet des réseaux informatiques. Nous couvrirons tout, des principes fondamentaux des technologies et protocoles de réseau modernes à une vue d’ensemble du cloud en passant par les applications pratiques et le dépannage réseau. 

À la fin de ce cours, vous serez en mesure de :
● décrire les réseaux informatiques en termes de modèle à cinq couches
● comprendre tous les protocoles standard utilisés dans les communications TCP/IP
● maîtriser de puissants outils et techniques de dépannage réseau
● apprendre les services réseau tels que DNS et DHCP qui contribuent au fonctionnement des réseaux informatiques
● comprendre l’informatique en nuage (cloud computing), le tout en tant que service, ainsi que le stockage en cloud",,4330.0,,
Les bits et les octets des réseaux informatiques,https://www.coursera.org/learn/les-bits-et-les-octets-des-reseaux-informatiques-google,Information Technology,Networking,Google Career Certificates,"Ce cours est conçu pour fournir un aperçu complet des réseaux informatiques. Nous couvrirons tout, des principes fondamentaux des technologies et protocoles de réseau modernes à une vue d’ensemble du cloud en passant par les applications pratiques et le dépannage réseau. 

À l’issue de ce cours, vous serez en mesure :
● décrire les réseaux informatiques en termes de modèle à cinq couches
● comprendre tous les protocoles standard utilisés dans les communications TCP/IP
● maîtriser de puissants outils et techniques de dépannage réseau
● apprendre les services réseau tels que DNS et DHCP qui contribuent au fonctionnement des réseaux informatiques
● comprendre l’informatique en nuage (cloud computing), le tout en tant que service, ainsi que le stockage en cloud",,,,
Los bits y bytes de las redes informáticas,https://www.coursera.org/learn/redes-informaticas,Information Technology,Networking,Google Career Certificates,"Este curso está diseñado para brindar una visión general completa de las redes de computadoras. Abordaremos  todo, desde los fundamentos de las tecnologías y los protocolos de redes modernas hasta una descripción general de la nube, aplicaciones prácticas y solución de problemas de red. Cerraremos viendo cómo podría aparecer esta información en una entrevista laboral y brindándote algunos consejos para que resuelvas problemas en el momento.

Al final de este curso, podrás:
● describir redes de computadoras en términos de un modelo de cinco capas,
● comprender todos los protocolos estándar relacionados con las comunicaciones TCP/IP,
● comprender potentes herramientas y técnicas de solución de problemas de red,
● conocer servicios de red como DNS y DHCP que facilitan el funcionamiento de las redes de computadoras,
● comprender la computación en la nube, el concepto de ""Todo como servicio"" y el almacenamiento en la nube.",27958.0,433945.0,4.8,2896.0
"Managing processes, Services and Networking in Linux",https://www.coursera.org/learn/managing-processes-services-and-networking-in-linux,Information Technology,Networking,Noureldin Ayman Tawfik,"By the end of this project, you will be able to monitor and manage your network, services and processes using linux. you will be able to identify RedHat and write basic commands in the shell. Moreover, you will be able to list services and daemons. Finally, you will be able to manage RedHat enterprise linux networking.
The goal of this project is to learn basics about linux in the first task you will be able to open the terminal and know what is the shell and some basic commands",,,3.4,10.0
Multiple VPC Networks,https://www.coursera.org/learn/googlecloud-multiple-vpc-networks-qbvxp,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
NGINX Ingress Controller on Google Kubernetes Engine,https://www.coursera.org/learn/googlecloud-nginx-ingress-controller-on-google-kubernetes-engine-cwwpn,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Network Tiers - Optimizing Network Spend,https://www.coursera.org/learn/googlecloud-network-tiers-optimizing-network-spend-bcxrt,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Networking 101,https://www.coursera.org/learn/googlecloud-networking-101-rlciy,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Networking and Security Architecture with VMware NSX,https://www.coursera.org/learn/networking-security-architecture-vmware-nsx,Information Technology,Networking,Chris McCain,"This 8 week online course equips learners with the basics of network virtualization with VMware NSX.

To get the most of this course, you should have familiarity with generic IT concepts of routing, switching, firewalling, disaster recovery, business continuity, cloud and security.

At the end of the course, you will be able to:
•	Understand network virtualization basics
•	Describe NSX business value and use cases
•	Explain how NSX is different from traditional networking
•	Summarize networking and security solution architecture with VMware NSX around these key areas:
          + Micro-segmentation
          + Automation with OpenStack
          + Automation with VMware vRealize Automation
          + Disaster Recovery and Business Continuity
          + Operational Transformation
•	Demonstrate understanding through hands-on experience
•	Develop a learning plan for network virtualization certification

If you are new to network virtualization, download our Network Virtualization for Dummies guide. 
http://learn.vmware.com/36350_NSX_ITAutomation_Reg?src=af_5acfd24cebb90&cid=70134000001YR9b

All Hands on Labs referenced in this course are OPTIONAL and available for FREE. Direct links to free labs can be found on the Resources Tab or you can access our full library at https://labs.hol.vmware.com/HOL/catalogs/catalog/877",47856.0,32636.0,4.7,412.0
Networking in Google Cloud: Defining and Implementing Networks,https://www.coursera.org/learn/networking-gcp-defining-implementing-networks,Information Technology,Networking,Google Cloud Training,"This self-paced training course gives participants broad study of networking options on Google Cloud. Through recorded lectures, demonstrations, and hands-on labs, participants explore and deploy Google Cloud networking technologies, such as Google Cloud Virtual Private Cloud (VPC) networks, subnets and firewalls. The course also covers access control to networks, sharing networks and load balancing.",30693.0,23201.0,4.8,1499.0
Networking in Google Cloud: Defining and Implementing Networks en Français,https://www.coursera.org/learn/networking-gcp-defining-implementing-networks-fr,Information Technology,Networking,Google Cloud Training,"Découvrez les nombreuses options de mise en réseau de Google Cloud. Ce cours s'appuie sur des présentations, des démonstrations et des ateliers pratiques pour vous aider à découvrir et à déployer les technologies de mise en réseau Google Cloud, telles que les réseaux, sous-réseaux et pare-feu de cloud privé virtuel (VPC), les interconnexions entre les réseaux, l'équilibrage de charge, Cloud DNS, Cloud CDN et Cloud NAT. Vous étudierez également les schémas de conception de réseau les plus courants et le déploiement automatisé à l'aide de Cloud Deployment Manager ou de Terraform.",,,,
Networking in Google Cloud: Defining and Implementing Networks 日本語版,https://www.coursera.org/learn/networking-gcp-defining-implementing-networks-ja,Information Technology,Networking,Google Cloud Training,Google Cloud のさまざまなネットワーキング オプションについて学習します。このコースでは、講義、デモ、ハンズオンラボを通して、Virtual Private Cloud（VPC）ネットワーク、サブネット、ファイアウォールのほか、ネットワーク間の相互接続、負荷分散、Cloud DNS、Cloud CDN、Cloud NAT など、Google Cloud のさまざまなネットワーク テクノロジーを学び、実際にデプロイします。また、一般的なネットワーク設計パターンと、Cloud Deployment Manager または Terraform による自動デプロイについても学習します。,,,,
Networking in Google Cloud: Hybrid Connectivity and Network Management,https://www.coursera.org/learn/networking-gcp-hybrid-connectivity-network-management,Information Technology,Networking,Google Cloud Training,"Learn about the broad variety of networking options on Google Cloud. This course uses lectures, demos, and hands-on labs to help you explore and deploy Google Cloud networking technologies, including Virtual Private Cloud (VPC) networks, subnets, and firewalls; interconnection among networks; load balancing; Cloud DNS; Cloud CDN; and Cloud NAT. You'll also learn about common network design patterns and automated deployment using Terraform.",21866.0,13266.0,4.8,1006.0
Networking in Google Cloud: Hybrid Connectivity and Network Management en Français,https://www.coursera.org/learn/networking-gcp-hybrid-connectivity-network-management-fr,Information Technology,Networking,Google Cloud Training,"Découvrez les nombreuses options de mise en réseau dans Google Cloud. Ce cours s'appuie sur des présentations, des démonstrations et des ateliers pratiques pour vous aider à explorer et déployer les technologies de mise en réseau Google Cloud, telles que les réseaux, sous-réseaux et pare-feu de cloud privé virtuel (VPC), les interconnexions entre les réseaux, l'équilibrage de charge, Cloud DNS, Cloud CDN et Cloud NAT. Vous découvrirez également les schémas de conception les plus courants et le déploiement automatisé à l'aide de Cloud Deployment Manager ou de Terraform.",,,,
Networking in Google Cloud: Hybrid Connectivity and Network Management 日本語版,https://www.coursera.org/learn/networking-gcp-hybrid-connectivity-network-management-ja,Information Technology,Networking,Google Cloud Training,Google Cloud のさまざまなネットワーキング オプションについて学習します。このコースでは、講義、デモ、ハンズオンラボを使用して、Virtual Private Cloud（VPC）のネットワーク、サブネット、ファイアウォールや、ネットワーク間の相互接続、負荷分散、Cloud DNS、Cloud CDN、Cloud NAT などの Google Cloud ネットワーキング テクノロジーについて学習し、演習を行います。また、一般的なネットワーク設計のパターンや、Terraform を使用した自動デプロイについても学習します。,,,,
Optimización de Redes Neuronales Profundas,https://www.coursera.org/learn/optimizacin-de-redes-neuronales-profundas,Information Technology,Networking,"Rafael Crescenzi, Pablo Alejandro Albani","Este curso se centrará en la optimización de Redes Neuronales Profundas, cambiando la idea de que todo el proceso es una “caja negra”. 

Comprenderá qué impulsa el rendimiento y podrá obtener mejores resultados de manera más sistemática  
Entenderá cómo optimizar los principales Hiperparámetros y su implementación.  
Además, aprenderá nuevos conceptos útiles para el entrenamiento de las redes como los mini-batch y las regularizaciones.  
También, aprenderá a implementar una red neuronal utilizando TensorFlow",,,,
Os vários elementos das redes informáticas,https://www.coursera.org/learn/computer-networking-pt-pt,Information Technology,Networking,Google Career Certificates,"Este curso foi concebido para proporcionar uma vista geral das redes informáticas. Vamos abordar desde os princípios básicos das tecnologias e protocolos de redes modernos até aplicações práticas e resolução de problemas de rede. Para terminar, vamos abordar o modo como estas informações podem surgir numa entrevista de emprego e dar-lhe algumas sugestões para resolver problemas no local.

No final deste curso, será capaz de:
● Descrever redes informáticas em termos de um modelo de cinco camadas;
● Compreender todos os protocolos padrão envolvidos nas comunicações TCP/IP;
● Compreender ferramentas e técnicas poderosas de resolução de problemas de rede;
● Adquirir conhecimentos sobre serviços de rede como DNS e DHCP, que ajudam ao funcionamento das redes informáticas;
● Compreender a cloud computing, tudo como um serviço e o armazenamento na nuvem.",,1672.0,4.8,36.0
Posicionamiento en redes: estrategias de contenido.,https://www.coursera.org/learn/redes-sociales-estrategias-contenido,Information Technology,Networking,"Esther González Garín, José Javier De la Fuente, Pedro Soler Rojas","Este curso está dirigido no solo a los profesionales de los medios de comunicación sino también a cualquier personal interesada en conocer las redes sociales, diferenciarlas, utilizar herramientas para generar contenido para las redes sociales y evitar errores en su generación,  sin importar la edad o el nivel de instrucción.",,2106.0,,
Program Automation of devices using Packet Tracer,https://www.coursera.org/learn/program-automation-of-devices-using-packet-tracer,Information Technology,Networking,Priya Jha,"In this 1-hour long project-based course, you will learn how to build and configure smart home devices using Packet Tracer. In this project, you will get an introduction to the Packet Tracer and the different components available in Packet Tracer. You will learn to configure a basic topology where you will write a simple python program on the single board computer to turn the led on and off using a switch. You will learn to build a complex topology where you will program the SBC board to connect and automate multiple home devices such as webcam, lamp, window, doors, and fans. You will also learn to simulate the topology to get the results of automation in Packet Tracer.

Basics of Python programming are recommended.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
Programming with Cloud IoT Platforms,https://www.coursera.org/learn/cloud-iot-platform,Information Technology,Networking,James Won-Ki HONG,"Internet of Things (IoT) is an emerging area of information and communications technology (ICT) involving many disciplines of computer science and engineering including sensors/actuators, communications networking, server platforms, data analytics and smart applications. IoT is considered to be an essential part of the 4th Industrial Revolution along with AI and Big Data. This course aims at introducing IoT Cloud platforms from Samsung, Microsoft, Amazon, IBM and Google and how they can be used in developing IoT applications. This course will be offered in English. Subtitles/captions in English and will be also provided. 

IoT (Internet of Things, 사물인터넷)는 최근 중요한 정보통신기술로 주목 받고 있으며 센서/ 제어기, 통신 네트워크, 서버 플랫폼, 데이터 분석, 스마트 앱 등의 컴퓨터공학 기술들이 융합된 기술입니다. IoT는 인공지능, 빅데이터와 함께, 4차산업혁명의 3대 핵심 기술 중 하나로 손꼽히고 있습니다. 글로벌 Cloud 서비스 제공자들이 IoT를 특별히 지원하기 위하여 개발한 IoT Cloud 플랫폼들을 소개합니다. 이것들을 활용하여 다양한 IoT 어플리케이션을 개발할 수 있습니다. 본 과목은 영어로 진행되며, 영문자막(일부 한글과 영문 모두)을 제공합니다.",12262.0,10210.0,4.3,289.0
Routing Protocols Fundamentals using Cisco Packet Tracer,https://www.coursera.org/learn/routing-protocols-fundamentals,Information Technology,Networking,ahmed elshorafa,"In this 1-hour long project-based course, you will learn how to create a network topology using Cisco packet tracer. You will be able to apply basic configurations on network devices, identify the importance of routers in your network topology, and differentiate between the types of routing protocols, Moreover, you will be able to configure routing protocols as rip and EIGRP and OSPF on your router. Learning the routing protocols will provide you with the basics you need to begin working in the network engineering field. This guided project is for people who would like to enter the world of computer networking architecture and network administration. This project will enhance your skills in the networking field as learning routing protocols will benefit you much in your career as a network engineer.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,4.5,29.0
Running Windows Containers on Compute Engine,https://www.coursera.org/learn/googlecloud-running-windows-containers-on-compute-engine-t6w08,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Securing Cisco Switches with Port Security,https://www.coursera.org/learn/securing-cisco-switches-port-security,Information Technology,Networking,Mohammed Al M.,"Welcome to the CCNA 1.5: Securing Cisco Switches with Port Security. This project is the fifth in the CCNA learning series that is designed to help you acquire the hands-on skills required to pass the CCNA certification exam.

In this 2-hour guided project, you will secure Cisco Local Area Networks by disabling unused switch ports, implementing different port security modes, and verifying port security settings on Cisco switches.",,,4.7,24.0
Security Features and Advanced Threat Prevention,https://www.coursera.org/learn/juniper-security-features-and-atp,Information Technology,Networking,Gordon ,"In this course, we will describe security services such as Intrusion Prevention System (IPS), user-based firewalls, and how they are configured. You will be introduced to Juniper’s security features, such as antivirus, antispam, content filtering, and Web filtering, along with their functionality and usage. Juniper ATP Cloud (Juniper’s cloud-based Advanced Threat Prevention (ATP) service) will be introduced, along with its features, implementation, and monitoring. The course will also explain a very important feature of firewall security—Network Address Translation (NAT).",,2545.0,,
"Security Platforms, IPsec, and Troubleshooting",https://www.coursera.org/learn/juniper-srx-ipsec-and-troubleshooting,Information Technology,Networking,Gordon ,"This course will begin by examining IPsec VPNs and their functionality. You will learn how IPsec VPNs are configured, implemented, and monitored. You will then be introduced to Juniper’s highly flexible SSL VPN application—Juniper Secure Connect—examining its features, configuration, deployment, and monitoring. SRX Series troubleshooting, monitoring, and maintenance will also be examined along with an overview of the different types of SRX Series devices and interfaces.",,1600.0,,
Seluk Beluk Jaringan Komputer,https://www.coursera.org/learn/seluk-beluk-jaringan-komputer,Information Technology,Networking,Google Career Certificates,"Materi ini dirancang untuk memberikan gambaran lengkap tentang jaringan komputer. Kami akan membahas semua mulai dari dasar-dasar teknologi dan protokol jaringan modern kemudian gambaran umum cloud hingga aplikasi praktis dan pemecahan masalah jaringan. 

Pada akhir materi ini, Anda akan dapat:
● menggambarkan jaringan komputer dalam bentuk model lima lapis
● memahami semua protokol standar yang terlibat dengan komunikasi TCP/IP
● menguasai alat dan teknik pemecahan masalah yang tepat
● mempelajari layanan jaringan seperti DNS dan DHCP yang membuat jaringan komputer berfungsi
● memahami komputasi cloud, semua layanan terkait, dan penyimpanan cloud",9258.0,640534.0,4.9,858.0
Static Routing Configuration Using Packet Tracer,https://www.coursera.org/learn/static-routing-configuration-using-packet-tracer,Information Technology,Networking,Priya Jha,"In this 2-hour long project-based course, you will learn how to Design, Create and Configure Network topologies using Packet Tracer. You will learn to perform or configure Static Routing using Packet Tracer. You will get an introduction to packet tracer and different components available in packet tracer. You will create basic network topology and will identify the importance of the default gateway. Next, you will learn to perform static routing between 3 routers. You will learn to configure your devices both using the command line and GUI. You will also  learn to trace the packets over different networks. And you will learn to stimulate your network topology in the simulation mode.

Basic knowledge on IP addressing and networking is recommended.



Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,4.5,19.0
The Bits and Bytes of Computer Networking,https://www.coursera.org/learn/computer-networking,Information Technology,Networking,Google Career Certificates,"This course is designed to provide a full overview of computer networking. We’ll cover everything from the fundamentals of modern networking technologies and protocols to an overview of the cloud to practical applications and network troubleshooting. 

By the end of this course, you’ll be able to:
● describe computer networks in terms of a five-layer model
● understand all of the standard protocols involved with TCP/IP communications
● grasp powerful network troubleshooting tools and techniques
● learn network services like DNS and DHCP that help make computer networks run
● understand cloud computing, everything as a service, and cloud storage",523724.0,4094794.0,4.7,40902.0
Traffic Management with Anthos Service Mesh,https://www.coursera.org/learn/googlecloud-traffic-management-with-anthos-service-mesh-ymf90,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
VPC Flow Logs - Analyzing Network Traffic,https://www.coursera.org/learn/googlecloud-vpc-flow-logs-analyzing-network-traffic-bmogd,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
VPC Networks - Controlling Access,https://www.coursera.org/learn/googlecloud-vpc-networks-controlling-access-68u8f,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
